baseline,scenario,success_rate_mean,success_rate_std,attack_success_rate_allow_mean,attack_success_rate_allow_std,attack_success_rate_non_deny_mean,attack_success_rate_non_deny_std,cost_leakage_tokens_mean,cost_leakage_tokens_std,false_reject_rate_mean,false_reject_rate_std,throttle_rate_mean,throttle_rate_std,p50_ms_mean,p50_ms_std,p95_ms_mean,p95_ms_std,risk_p50_mean,risk_p50_std,risk_p90_mean,risk_p90_std,attack_allow_count_mean,attack_throttle_count_mean,overall_auroc_mean,overall_prauc_mean,non_deny_auroc_mean,non_deny_prauc_mean,ece_official_mean,base_attack_rate_non_deny,n_non_deny,n_attack_non_deny,n_benign_non_deny,non_deny_p_at_10,non_deny_p_at_30,non_deny_p_at_50,non_deny_p_at_100,non_deny_p_at_200,non_deny_r_at_10,non_deny_r_at_30,non_deny_r_at_50,non_deny_r_at_100,non_deny_r_at_200,non_deny_lift_at_10,non_deny_lift_at_30,non_deny_lift_at_50,non_deny_lift_at_100,non_deny_lift_at_200,non_deny_p_at_30_ci_low,non_deny_p_at_30_ci_high,non_deny_p_at_100_ci_low,non_deny_p_at_100_ci_high,non_deny_lift_at_30_ci_low,non_deny_lift_at_30_ci_high,non_deny_lift_at_100_ci_low,non_deny_lift_at_100_ci_high,non_deny_pr_auc_ci_low,non_deny_pr_auc_ci_high,base_attack_rate_ci_low,base_attack_rate_ci_high,sr_benign,frr_benign,throttle_benign,p95_benign,asr_allow_attack,asr_non_deny_attack,cost_attack,throttle_attack,p95_attack
B2,S2a_token_leak_missing_dpop,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,315.00,0.00,0.0000,0.0000,0.0000,0.0000,1.030,0.061,1.859,0.535,-1.0000,0.0000,-1.0000,0.0000,15.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S2b_token_leak_wrong_key_dpop,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,320.00,0.00,0.0000,0.0000,0.0000,0.0000,0.946,0.144,1.758,0.855,-1.0000,0.0000,-1.0000,0.0000,15.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S3_benign_control_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1819.00,0.00,0.0000,0.0000,0.0000,0.0000,0.873,0.069,1.686,0.420,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S3_replay,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,500.00,0.00,0.0000,0.0000,0.0000,0.0000,0.944,0.031,1.814,0.163,-1.0000,0.0000,-1.0000,0.0000,30.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S3_replay_blended_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1120.00,0.00,0.0000,0.0000,0.0000,0.0000,0.927,0.029,1.710,0.387,-1.0000,0.0000,-1.0000,0.0000,80.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S3_replay_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1259.00,0.00,0.0000,0.0000,0.0000,0.0000,0.881,0.044,1.876,0.379,-1.0000,0.0000,-1.0000,0.0000,90.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S3_replay_nearmiss_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1539.00,0.00,0.0000,0.0000,0.0000,0.0000,0.854,0.031,1.801,0.131,-1.0000,0.0000,-1.0000,0.0000,110.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S4_burst,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1214.00,0.00,0.0000,0.0000,0.0000,0.0000,0.967,0.119,1.870,0.503,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S4_burst_L1,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,507.00,0.00,0.0000,0.0000,0.0000,0.0000,1.008,0.077,2.041,0.166,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S4_burst_L2,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,720.00,0.00,0.0000,0.0000,0.0000,0.0000,0.926,0.027,1.568,0.275,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S4_burst_L3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,963.00,0.00,0.0000,0.0000,0.0000,0.0000,0.976,0.082,1.764,0.304,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S4_burst_L4,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1214.00,0.00,0.0000,0.0000,0.0000,0.0000,0.953,0.033,1.543,0.218,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S5_slowdrip,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,466.00,0.00,0.0000,0.0000,0.0000,0.0000,0.961,0.088,1.810,0.168,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,S6_drift,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,374.00,0.00,0.0000,0.0000,0.0000,0.0000,0.826,0.083,1.735,0.091,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S1_benign_control_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1904.00,0.00,0.0000,0.0000,0.0000,0.0000,0.956,0.070,1.985,0.451,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S1_key_leak,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,408.00,0.00,0.0000,0.0000,0.0000,0.0000,0.926,0.025,1.634,0.484,-1.0000,0.0000,-1.0000,0.0000,24.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S1_key_leak_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,520.00,0.00,0.0000,0.0000,0.0000,0.0000,0.903,0.031,17.651,22.875,-1.0000,0.0000,-1.0000,0.0000,30.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S1_restricted_issuance_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1384.00,0.00,0.0000,0.0000,0.0000,0.0000,0.940,0.060,1.844,0.048,-1.0000,0.0000,-1.0000,0.0000,80.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S2_benign_control_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1672.00,0.00,0.0000,0.0000,0.0000,0.0000,0.865,0.017,1.699,0.030,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S2_delegated_misuse_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1216.00,0.00,0.0000,0.0000,0.0000,0.0000,0.899,0.071,1.802,0.180,-1.0000,0.0000,-1.0000,0.0000,80.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S2_token_leak,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.291,0.003,0.728,0.024,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S2_token_leak_hard,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.378,0.037,0.724,0.020,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S2a_token_leak_missing_dpop,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.459,0.046,0.681,0.055,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S2b_token_leak_wrong_key_dpop,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.296,0.038,0.643,0.053,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S3_benign_control_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1819.00,0.00,0.0000,0.0000,0.0000,0.0000,0.903,0.046,1.920,0.377,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S3_replay,0.0333,0.0000,0.0333,0.0000,0.0333,0.0000,16.67,0.47,0.0000,0.0000,0.0000,0.0000,0.481,0.044,0.748,0.003,-1.0000,0.0000,-1.0000,0.0000,1.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S3_replay_blended_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1120.00,0.00,0.0000,0.0000,0.0000,0.0000,0.955,0.021,1.720,0.344,-1.0000,0.0000,-1.0000,0.0000,80.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S3_replay_hard,0.0111,0.0000,0.0111,0.0000,0.0111,0.0000,14.00,0.00,0.0000,0.0000,0.0000,0.0000,0.398,0.021,0.744,0.001,-1.0000,0.0000,-1.0000,0.0000,1.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S3_replay_nearmiss_hard,0.2727,0.0000,0.2727,0.0000,0.2727,0.0000,419.00,1.41,0.0000,0.0000,0.0000,0.0000,0.496,0.018,1.273,0.162,-1.0000,0.0000,-1.0000,0.0000,30.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S4_burst,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1214.00,0.00,0.0000,0.0000,0.0000,0.0000,0.944,0.109,1.828,0.182,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S4_burst_L1,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,507.00,0.00,0.0000,0.0000,0.0000,0.0000,1.021,0.069,1.795,0.117,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S4_burst_L2,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,720.00,0.00,0.0000,0.0000,0.0000,0.0000,1.011,0.090,1.434,0.258,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S4_burst_L3,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,963.00,0.00,0.0000,0.0000,0.0000,0.0000,0.948,0.019,1.926,0.180,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S4_burst_L4,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1214.00,0.00,0.0000,0.0000,0.0000,0.0000,0.986,0.027,2.144,0.430,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S5_slowdrip,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,466.00,0.00,0.0000,0.0000,0.0000,0.0000,1.089,0.341,1.861,0.954,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,S6_drift,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,374.00,0.00,0.0000,0.0000,0.0000,0.0000,0.833,0.119,1.504,0.289,-1.0000,0.0000,-1.0000,0.0000,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,S1_benign_control_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1904.00,0.00,0.0000,0.0000,0.0000,0.0000,1.070,0.065,2.130,0.380,0.0914,0.0006,0.0997,0.0004,0.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,0.3956,546.0000,216.0000,330.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0463,0.1389,0.2315,0.4630,0.9259,2.5278,2.5278,2.5278,2.5278,2.5278,1.0000,1.0000,1.0000,1.0000,2.2941,2.9514,2.2941,2.9514,0.9034,0.9527,0.3388,0.4359,,,,,,,,,
B4,S1_key_leak,0.7778,0.0708,0.0139,0.0196,0.7778,0.0708,115.67,10.08,0.0000,0.0000,0.7639,0.0786,3.039,0.302,4.083,0.527,0.0902,0.0021,0.6200,0.0000,0.33,18.33,0.5779,0.6992,0.5006,0.5947,0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,S1_key_leak_hard,0.0667,0.0000,0.0333,0.0000,0.0667,0.0000,30.67,0.94,0.0000,0.0000,0.0333,0.0000,2.446,0.319,3.442,0.084,0.7284,0.0046,0.7560,0.0011,1.00,1.00,0.5779,0.6992,0.5006,0.5947,0.1493,0.3956,546.0000,216.0000,330.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0463,0.1389,0.2315,0.4630,0.9259,2.5278,2.5278,2.5278,2.5278,2.5278,1.0000,1.0000,1.0000,1.0000,2.2941,2.9514,2.2941,2.9514,0.9034,0.9527,0.3388,0.4359,,,,,,,,,
B4,S1_restricted_issuance_hard,0.8750,0.0102,0.0000,0.0000,0.8750,0.0102,1000.33,11.95,0.0000,0.0000,0.8750,0.0102,3.172,0.376,4.785,0.555,0.2400,0.0000,0.2533,0.0094,0.00,70.00,0.5779,0.6992,0.5006,0.5947,0.1493,0.3956,546.0000,216.0000,330.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0463,0.1389,0.2315,0.4630,0.9259,2.5278,2.5278,2.5278,2.5278,2.5278,1.0000,1.0000,1.0000,1.0000,2.2941,2.9514,2.2941,2.9514,0.9034,0.9527,0.3388,0.4359,,,,,,,,,
B4,S2_benign_control_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1672.00,0.00,0.0000,0.0000,0.0000,0.0000,1.024,0.066,1.951,0.267,0.0926,0.0004,0.1003,0.0006,0.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,0.3866,538.0000,208.0000,330.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0481,0.1442,0.2404,0.4808,0.9615,2.5865,2.5865,2.5865,2.5865,2.5865,1.0000,1.0000,1.0000,1.0000,2.3090,2.8617,2.3090,2.8617,0.8793,0.9313,0.3494,0.4331,,,,,,,,,
B4,S2_delegated_misuse_hard,0.8667,0.0257,0.7042,0.0562,0.8667,0.0257,1018.67,32.67,0.0000,0.0000,0.1625,0.0368,1.247,0.115,5.078,2.571,0.1400,0.0000,0.2000,0.0283,56.33,13.00,0.5779,0.6992,0.5006,0.5947,0.1493,0.3866,538.0000,208.0000,330.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0481,0.1442,0.2404,0.4808,0.9615,2.5865,2.5865,2.5865,2.5865,2.5865,1.0000,1.0000,1.0000,1.0000,2.3090,2.8617,2.3090,2.8617,0.8793,0.9313,0.3494,0.4331,,,,,,,,,
B4,S2_token_leak,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,2.541,0.335,3.409,0.289,0.7284,0.0028,0.7532,0.0015,0.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,S2_token_leak_hard,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,2.611,0.376,3.592,0.609,0.7316,0.0015,0.7548,0.0020,0.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,0.3866,538.0000,208.0000,330.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0481,0.1442,0.2404,0.4808,0.9615,2.5865,2.5865,2.5865,2.5865,2.5865,1.0000,1.0000,1.0000,1.0000,2.3090,2.8617,2.3090,2.8617,0.8793,0.9313,0.3494,0.4331,,,,,,,,,
B4,S2a_token_leak_missing_dpop,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,2.683,0.344,3.375,0.409,0.7304,0.0057,0.7500,0.0049,0.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,S2b_token_leak_wrong_key_dpop,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.0000,0.0000,0.0000,0.0000,2.565,0.131,3.049,0.207,0.7288,0.0034,0.7488,0.0059,0.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,S3_benign_control_hard,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1819.00,0.00,0.0000,0.0000,0.0000,0.0000,1.024,0.007,2.186,0.111,0.0918,0.0003,0.1003,0.0005,0.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,0.5820,933.0000,543.0000,390.0000,1.0000,1.0000,1.0000,1.0000,0.7900,0.0184,0.0552,0.0921,0.1842,0.2910,1.7182,1.7182,1.7182,1.7182,1.3574,1.0000,1.0000,0.9400,1.0000,1.6254,1.8012,1.6031,1.7839,0.5985,0.6679,0.5552,0.6152,,,,,,,,,
B4,S3_replay,0.0333,0.0000,0.0333,0.0000,0.0333,0.0000,16.67,0.47,0.0000,0.0000,0.0000,0.0000,2.840,0.333,3.939,0.326,0.7304,0.0011,0.7544,0.0031,1.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,S3_replay_blended_hard,1.0000,0.0000,0.9708,0.0236,1.0000,0.0000,1113.67,5.44,0.0000,0.0000,0.0292,0.0236,1.084,0.003,2.527,0.434,0.0864,0.0000,0.1205,0.0038,77.67,2.33,0.5779,0.6992,0.5006,0.5947,0.1493,0.5820,933.0000,543.0000,390.0000,1.0000,1.0000,1.0000,1.0000,0.7900,0.0184,0.0552,0.0921,0.1842,0.2910,1.7182,1.7182,1.7182,1.7182,1.3574,1.0000,1.0000,0.9400,1.0000,1.6254,1.8012,1.6031,1.7839,0.5985,0.6679,0.5552,0.6152,,,,,,,,,
B4,S3_replay_hard,0.0111,0.0000,0.0111,0.0000,0.0111,0.0000,14.00,0.00,0.0000,0.0000,0.0000,0.0000,2.810,0.275,3.706,0.335,0.7296,0.0015,0.7536,0.0011,1.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,0.5820,933.0000,543.0000,390.0000,1.0000,1.0000,1.0000,1.0000,0.7900,0.0184,0.0552,0.0921,0.1842,0.2910,1.7182,1.7182,1.7182,1.7182,1.3574,1.0000,1.0000,0.9400,1.0000,1.6254,1.8012,1.6031,1.7839,0.5985,0.6679,0.5552,0.6152,,,,,,,,,
B4,S3_replay_nearmiss_hard,0.9091,0.0000,0.6515,0.0309,0.9091,0.0000,1320.67,11.44,0.0000,0.0000,0.2576,0.0309,1.421,0.286,4.163,0.657,0.0831,0.0043,0.1258,0.0004,71.67,28.33,0.5779,0.6992,0.5006,0.5947,0.1493,0.5820,933.0000,543.0000,390.0000,1.0000,1.0000,1.0000,1.0000,0.7900,0.0184,0.0552,0.0921,0.1842,0.2910,1.7182,1.7182,1.7182,1.7182,1.3574,1.0000,1.0000,0.9400,1.0000,1.6254,1.8012,1.6031,1.7839,0.5985,0.6679,0.5552,0.6152,,,,,,,,,
B4,S4_burst,1.0000,0.0000,0.8583,0.0118,1.0000,0.0000,85.67,0.47,0.0000,0.0000,0.1417,0.0118,1.147,0.060,3.197,0.153,0.0908,0.0005,0.0996,0.0008,0.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,S4_burst_L1,1.0000,0.0000,0.7619,0.0734,1.0000,0.0000,62.67,2.05,0.0000,0.0000,0.2381,0.0734,1.189,0.038,32.883,41.632,0.0914,0.0011,0.0990,0.0010,0.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,S4_burst_L2,1.0000,0.0000,0.7917,0.0531,1.0000,0.0000,70.67,1.70,0.0000,0.0000,0.2083,0.0531,1.160,0.127,3.604,0.639,0.0926,0.0006,0.0997,0.0007,0.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,S4_burst_L3,1.0000,0.0000,0.7685,0.0571,1.0000,0.0000,80.33,2.05,0.0000,0.0000,0.2315,0.0571,1.227,0.181,3.707,0.312,0.0921,0.0011,0.0999,0.0006,0.00,0.00,0.5779,0.6992,0.5006,0.5947,0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
